Date,Open,High,Low,Close,Adj Close,Volume
2023-12-18,5.360000,5.390000,5.070000,5.160000,5.160000,11921200
2023-12-19,5.180000,5.320000,5.180000,5.230000,5.230000,5760900
2023-12-20,5.180000,5.200000,4.850000,4.910000,4.910000,14339100
2023-12-21,4.990000,5.110000,4.930000,4.940000,4.940000,8087800
2023-12-22,4.940000,5.170000,4.900000,5.060000,5.060000,7910000
2023-12-26,5.150000,5.190000,5.030000,5.050000,5.050000,4775900
2023-12-27,5.020000,5.080000,4.890000,4.940000,4.940000,8607300
2023-12-28,4.950000,5.020000,4.840000,4.910000,4.910000,7460100
2023-12-29,4.900000,5.020000,4.800000,4.800000,4.800000,7145600
2024-01-02,4.820000,5.340000,4.770000,5.030000,5.030000,13939800
2024-01-03,5.000000,5.000000,4.780000,4.890000,4.890000,14051700
2024-01-04,4.910000,5.200000,4.810000,5.160000,5.160000,9809600
2024-01-05,5.020000,5.110000,4.860000,5.000000,5.000000,7701900
2024-01-08,4.960000,5.190000,4.880000,5.150000,5.150000,8989100
2024-01-09,5.100000,5.100000,4.630000,4.810000,4.810000,15527000
2024-01-10,4.870000,4.920000,4.700000,4.840000,4.840000,8816800
2024-01-11,4.800000,4.810000,4.550000,4.560000,4.560000,8349100
2024-01-12,4.560000,4.730000,4.530000,4.580000,4.580000,6276600
2024-01-16,4.430000,4.480000,4.280000,4.340000,4.340000,7265500
2024-01-17,4.220000,4.250000,4.150000,4.210000,4.210000,6091600
2024-01-18,4.110000,4.150000,4.010000,4.110000,4.110000,6797400
2024-01-19,4.110000,4.120000,3.990000,4.050000,4.050000,5736400
2024-01-22,4.060000,4.290000,4.020000,4.180000,4.180000,6625400
2024-01-23,4.320000,4.360000,4.120000,4.260000,4.260000,5181700
2024-01-24,4.320000,4.350000,4.020000,4.050000,4.050000,7267500
2024-01-25,4.070000,4.180000,4.040000,4.100000,4.100000,5646100
2024-01-26,4.170000,4.230000,3.980000,4.060000,4.060000,5223800
2024-01-29,4.070000,4.200000,4.010000,4.190000,4.190000,5711300
2024-01-30,4.180000,4.220000,4.020000,4.030000,4.030000,5645300
2024-01-31,4.010000,4.240000,3.950000,4.000000,4.000000,9126000
2024-02-01,4.050000,4.090000,3.990000,4.020000,4.020000,5146400
2024-02-02,4.010000,4.020000,3.820000,3.930000,3.930000,8278900
2024-02-05,3.830000,3.860000,3.530000,3.760000,3.760000,8981800
2024-02-06,3.770000,3.950000,3.700000,3.930000,3.930000,4633900
2024-02-07,3.930000,3.930000,3.750000,3.780000,3.780000,5180400
2024-02-08,3.680000,3.800000,3.600000,3.790000,3.790000,4688300
2024-02-09,3.830000,4.140000,3.740000,4.030000,4.030000,8227200
2024-02-12,4.090000,4.340000,4.000000,4.150000,4.150000,8241100
2024-02-13,4.030000,4.040000,3.810000,3.900000,3.900000,8270200
2024-02-14,3.970000,4.150000,3.870000,4.100000,4.100000,7064400
2024-02-15,4.110000,4.350000,4.070000,4.300000,4.300000,6628400
